year,level_norm,city
1984,0.0,Charlotte Amalie
1985,15.2,Charlotte Amalie
1986,19.4,Charlotte Amalie
1987,-19.1,Charlotte Amalie
1988,-32.0,Charlotte Amalie
1989,-31.3,Charlotte Amalie
1990,-9.8,Charlotte Amalie
1991,43.5,Charlotte Amalie
1992,17.4,Charlotte Amalie
1993,18.4,Charlotte Amalie
1994,37.6,Charlotte Amalie
1995,-12.7,Charlotte Amalie
1996,-20.9,Charlotte Amalie
1997,15.1,Charlotte Amalie
1998,38.5,Charlotte Amalie
1999,-16.9,Charlotte Amalie
2000,-13.6,Charlotte Amalie
2001,46.7,Charlotte Amalie
2002,7.0,Charlotte Amalie
2003,48.2,Charlotte Amalie
2004,5.6,Charlotte Amalie
2005,29.3,Charlotte Amalie
2006,70.8,Charlotte Amalie
2007,46.6,Charlotte Amalie
2008,46.7,Charlotte Amalie
2009,-8.2,Charlotte Amalie
2010,61.1,Charlotte Amalie
2011,41.8,Charlotte Amalie
2012,84.7,Charlotte Amalie
2013,49.8,Charlotte Amalie
2014,87.1,Charlotte Amalie
